iter	Logloss
0	0.6204561474
1	0.5691795506
2	0.5224681057
3	0.49312088
4	0.469458976
5	0.4506118004
6	0.4358099799
7	0.4230603247
8	0.4125624951
9	0.4042417519
10	0.3970378842
11	0.3904932717
12	0.3843720957
13	0.3797881862
14	0.3758463978
15	0.3724056574
16	0.369074537
17	0.3663881728
18	0.36393016
19	0.3616236547
20	0.3596661248
21	0.3580557238
22	0.3565799781
23	0.355173097
24	0.3539233682
25	0.3529138885
26	0.3520414759
27	0.3512803539
28	0.3504615735
29	0.3496083855
30	0.3489595066
31	0.3484747484
32	0.3477825301
33	0.3473547656
34	0.3466927579
35	0.3463294562
36	0.3459474689
37	0.3456268679
38	0.3451092763
39	0.3447817046
40	0.3444338822
41	0.3443620569
42	0.3439345914
43	0.3436885413
44	0.343475077
45	0.3432540089
46	0.3430133951
47	0.342798797
48	0.3425889235
49	0.3424615658
50	0.3423336348
51	0.3422238898
52	0.3421365981
53	0.342054666
54	0.3417285618
55	0.3415876072
56	0.3415032539
57	0.3414886406
58	0.3413650193
59	0.3412323084
60	0.3409651989
61	0.3408148276
62	0.3407507168
63	0.3407106189
64	0.340565697
65	0.3405592907
66	0.3405047897
67	0.3404995086
0.3408588898
69	0.3408118552
70	0.340767073
71	0.3407670487
72	0.3405381321
73	0.3404558233
74	0.3403884803
75	0.3402014495
76	0.3401994137
77	0.3401607809
78	0.3401170624
79	0.3401073879
80	0.3400968888
81	0.3400252552
82	0.3400155281
83	0.3398969927
84	0.3398210395
85	0.3395564417
86	0.3394752571
87	0.3394414262
88	0.3394404991
89	0.3394062542
90	0.3393656624
91	0.3392542189
92	0.3392372518
93	0.3391796728
94	0.3391755622
95	0.3391502494
96	0.3391228315
97	0.3390855224
98	0.339083981
99	0.3390094019
100	0.3389459396
101	0.3389192061
102	0.3389148208
103	0.3388983772
104	0.3388959423
105	0.3388870433
106	0.3387943842
107	0.3387943374
108	0.3386811179
109	0.3386167022
110	0.3386037386
111	0.338499701
112	0.3384956895
113	0.3384528968
114	0.3383832569
115	0.33832225
116	0.3383137121
117	0.3383137112
118	0.3381661741
119	0.3381641062
120	0.3381212623
121	0.3381074213
122	0.3381027013
123	0.3380795853
124	0.3380758022
125	0.3380757126
126	0.3380749367
127	0.3380744648
128	0.3380487314
129	0.3380258985
130	0.3380214128
131	0.3380165831
132	0.3379982548
133	0.3379484799
134	0.3379117983
135	0.3378844159
136	0.3378802337
137	0.3378802308
0.3384270254
139	0.3384245963
140	0.338419385
141	0.3384101621
142	0.3384094095
143	0.3383779942
144	0.3383723895
145	0.3383699191
146	0.3383270131
147	0.3383253156
148	0.3383251557
149	0.338294322
150	0.3382921417
151	0.3382548663
152	0.3382272802
153	0.3382205451
154	0.3381984478
155	0.338187915
156	0.3381849045
157	0.3381773027
158	0.3381664915
159	0.3381569946
160	0.3381382257
161	0.3380842155
162	0.3380750807
163	0.3379212656
164	0.3378874756
165	0.3378874428
166	0.3378738128
167	0.3378718099
168	0.3378655714
169	0.3378197376
170	0.3378192629
171	0.3377767187
172	0.3377709881
173	0.3377470034
174	0.337735233
175	0.3377352325
176	0.3377168052
177	0.3377162822
178	0.3377077955
179	0.3376609125
180	0.3376606331
181	0.3376604552
182	0.3376604441
183	0.3376604375
184	0.3376603561
185	0.3376234052
5	0.3385023234
186	0.3384868446
187	0.3384692427
188	0.3384137005
189	0.3383535843
190	0.3383307018
191	0.3382409655
192	0.3382305977
193	0.3382305969
194	0.3382190414
195	0.3381784406
196	0.338127699
197	0.3381197308
198	0.3380802697
199	0.3380255082
200	0.3379693582
201	0.3379417181
202	0.3378933352
203	0.3378649278
204	0.337864697
205	0.3378317364
206	0.3377903204
207	0.3377305
208	0.3377289609
209	0.3376897523
210	0.3376893293
211	0.3376850045
212	0.3376779184
213	0.3376649548
214	0.3376456277
215	0.3375970143
216	0.3375848351
217	0.3375706415
218	0.3375706276
219	0.337567903
220	0.3375553096
221	0.337555298
222	0.3374360588
223	0.3374360529
224	0.3374360513
