iter	Passed	Remaining
0	3957	886386
1	10306	1149221
2	12203	903049
3	16930	935387
4	26197	1152676
5	27286	995963
6	31946	994892
7	34709	941482
8	49407	1185790
9	62788	1349962
10	64931	1263215
11	85501	1517643
12	86620	1412577
13	107841	1625326
14	128635	1800903
15	148880	1944747
16	149738	1832098
17	169898	1953835
18	190690	2067491
19	211147	2164264
20	212853	2067717
21	233599	2155487
22	254429	2234557
23	274748	2301018
24	294808	2358469
25	315018	2411103
26	316776	2323028
27	318494	2240835
28	319143	2156972
29	339054	2203851
30	340711	2132193
31	360761	2175841
32	380027	2211071
33	386578	2171662
34	395462	2146797
35	395960	2078791
36	407751	2071816
37	425679	2094788
38	443780	2116492
39	461128	2132719
40	478220	2146162
41	480383	2093100
42	496804	2102753
43	497519	2046615
44	498463	1993853
45	501392	1951070
46	506663	1918853
47	516240	1903635
48	532636	1913142
49	533814	1868351
50	534185	1822514
51	536565	1785112
52	537479	1744273
53	537584	1702351
54	554547	1714055
55	557123	1681317
56	557978	1644568
57	558603	1608393
58	575065	1617980
59	593803	1632958
60	610593	1641594
61	627430	1649535
62	628200	1615372
63	628770	1581749
64	645530	1588997
65	646142	1556615
66	646751	1525175
67	647728	1495491
946	1094140
69	486646	1077575
70	488634	1059856
71	488712	1038515
72	498882	1038769
73	509659	1039980
74	514602	1029204
75	524836	1028956
76	527617	1014121
77	537814	1013572
78	541675	1001070
79	542619	983497
80	544092	967274
81	553536	965313
82	554001	947809
83	560153	940257
84	568523	936392
85	577201	932918
86	582782	924414
87	585667	911777
88	585804	895161
89	588637	882956
90	590526	869566
91	598487	865205
92	599872	851431
93	609240	849047
94	609444	833977
95	610869	820855
96	611537	806977
97	614607	796480
98	615305	783115
99	617835	772294
100	627007	769791
101	628425	757806
102	629930	746130
103	630427	733478
104	630644	720736
105	631124	708526
106	640820	706699
107	641121	694548
108	649243	690937
109	657725	687622
110	659159	676975
111	661698	667606
112	662550	656687
113	670766	653115
114	681210	651592
115	692016	650257
116	694087	640696
117	694301	629578
118	702649	625889
119	703340	615423
120	713195	612994
121	716148	604616
122	718068	595471
123	718929	585579
124	720780	576624
125	721023	566518
126	721546	556784
127	721659	546882
128	723211	538204
129	726874	531177
130	728181	522511
131	728958	513584
132	729621	504700
133	739320	502076
134	739897	493264
135	741507	485251
136	744413	478163
137	745079	469723
562	384518
143	674711	379525
144	674882	372349
145	675365	365437
146	682995	362405
147	685358	356571
148	687415	350627
149	691819	345909
150	693142	339685
151	694825	333699
152	695522	327304
153	697947	321781
154	702822	317403
155	703955	311364
156	704564	305161
157	706293	299504
158	706827	293400
159	710869	288790
160	714997	284222
161	722449	280952
162	730124	277715
163	737284	274233
164	738692	268615
165	739955	262996
166	744684	258633
167	746959	253432
168	747908	247827
169	755423	244401
170	757454	239196
171	762116	234838
172	762965	229330
173	767194	224867
174	771774	220506
175	772048	214945
176	772890	209597
177	773346	204198
178	774401	199008
179	781740	195435
180	782792	190292
181	783214	185045
182	783436	179805
183	783670	174622
184	783888	169489
185	788480	165326
189	465307	85714
190	469867	83641
191	473206	81332
192	474516	78676
193	475610	75999
194	479286	73736
195	483571	71548
196	488260	69397
197	490207	66846
198	494388	64593
199	499279	62409
200	503480	60117
201	505180	57520
202	508353	55092
203	513105	52819
204	514089	50155
205	519756	47938
206	523557	45526
207	525307	42933
208	527433	40377
209	531277	37948
210	531920	35293
211	534829	32796
212	536167	30206
213	540489	27782
214	543966	25300
215	548359	22848
216	552319	20362
217	554357	17800
218	555538	15220
219	556877	12656
220	561851	10169
221	562855	7606
222	566379	5079
223	567284	2532
224	568427	0
